child_unique_id,child_object,child_resource_type,parent_unique_id,parent_object,parent_resource_type,generated_at
model.browserbase_warehouse.gtm_campaign_channel_performance,growth.gtm_campaign_channel_performance,model,model.browserbase_warehouse.stg_gtm_campaigns,silver.stg_gtm_campaigns,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_campaign_channel_performance,growth.gtm_campaign_channel_performance,model,model.browserbase_warehouse.stg_gtm_leads,silver.stg_gtm_leads,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_campaign_channel_performance,growth.gtm_campaign_channel_performance,model,model.browserbase_warehouse.stg_gtm_opportunities,silver.stg_gtm_opportunities,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_campaign_channel_performance,growth.gtm_campaign_channel_performance,model,model.browserbase_warehouse.stg_gtm_employees,silver.stg_gtm_employees,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_lifecycle_accounts,growth.gtm_lifecycle_accounts,model,model.browserbase_warehouse.stg_gtm_accounts,silver.stg_gtm_accounts,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_lifecycle_accounts,growth.gtm_lifecycle_accounts,model,model.browserbase_warehouse.stg_gtm_employees,silver.stg_gtm_employees,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_lifecycle_accounts,growth.gtm_lifecycle_accounts,model,model.browserbase_warehouse.stg_gtm_leads,silver.stg_gtm_leads,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_lifecycle_accounts,growth.gtm_lifecycle_accounts,model,model.browserbase_warehouse.stg_gtm_opportunities,silver.stg_gtm_opportunities,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_lifecycle_accounts,growth.gtm_lifecycle_accounts,model,model.browserbase_warehouse.stg_gtm_activities,silver.stg_gtm_activities,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_lifecycle_accounts,growth.gtm_lifecycle_accounts,model,model.browserbase_warehouse.organizations,silver.organizations,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_lifecycle_accounts,growth.gtm_lifecycle_accounts,model,model.browserbase_warehouse.sessions,silver.sessions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_lifecycle_accounts,growth.gtm_lifecycle_accounts,model,model.browserbase_warehouse.monthly_revenue,finance.monthly_revenue,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.active_organizations,growth.active_organizations,model,model.browserbase_warehouse.sessions,silver.sessions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.active_organizations,growth.active_organizations,model,model.browserbase_warehouse.organizations,silver.organizations,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_funnel_daily,growth.gtm_funnel_daily,model,model.browserbase_warehouse.stg_gtm_leads,silver.stg_gtm_leads,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_funnel_daily,growth.gtm_funnel_daily,model,model.browserbase_warehouse.stg_gtm_opportunities,silver.stg_gtm_opportunities,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.growth_kpis,growth.growth_kpis,model,model.browserbase_warehouse.growth_daily,growth.growth_daily,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.growth_task_queue,growth.growth_task_queue,model,model.browserbase_warehouse.signal_thresholds,growth.signal_thresholds,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.growth_task_queue,growth.growth_task_queue,model,model.browserbase_warehouse.signal_trial_conversion_risk_daily,growth.signal_trial_conversion_risk_daily,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.cohort_retention,growth.cohort_retention,model,model.browserbase_warehouse.organizations,silver.organizations,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.cohort_retention,growth.cohort_retention,model,model.browserbase_warehouse.sessions,silver.sessions,model,2026-03-03T03:38:36.101070+00:00
